time,computers on
2016-08-31 23:17:53,19
2016-08-31 23:35:30,19
2016-08-31 23:53:08,19
2016-09-01 00:10:46,19
2016-09-01 00:28:23,19
2016-09-01 00:46:01,19
2016-09-01 01:03:38,19
2016-09-01 01:21:16,19
2016-09-01 01:38:54,19
2016-09-01 01:56:31,19
2016-09-01 02:14:09,19
2016-09-01 02:31:47,19
2016-09-01 02:49:24,19
2016-09-01 03:07:02,20
2016-09-01 03:24:39,20
2016-09-01 03:42:17,19
2016-09-01 03:59:55,19
2016-09-01 04:17:32,19
2016-09-01 04:35:10,18
2016-09-01 04:52:48,18
2016-09-01 05:10:25,18
2016-09-01 05:28:03,18
2016-09-01 05:45:40,18
2016-09-01 06:03:18,18
2016-09-01 06:20:56,18
2016-09-01 06:38:34,18
2016-09-01 06:56:11,18
2016-09-01 07:13:49,18
2016-09-01 07:31:26,18
2016-09-01 07:49:04,18
2016-09-01 08:06:42,18
2016-09-01 08:24:19,18
2016-09-01 08:41:57,18
2016-09-01 08:59:34,20
2016-09-01 09:17:12,21
2016-09-01 09:34:50,23
2016-09-01 09:52:27,32
2016-09-01 10:10:05,41
2016-09-01 10:27:43,42
2016-09-01 10:45:20,42
2016-09-01 11:02:58,42
2016-09-01 11:20:35,42
2016-09-01 11:38:13,42
2016-09-01 11:55:51,42
2016-09-01 12:13:28,42
2016-09-01 12:31:06,42
2016-09-01 12:48:44,42
2016-09-01 13:06:21,42
2016-09-01 13:23:59,42
2016-09-01 13:41:37,41
2016-09-01 13:59:14,41
2016-09-01 14:16:52,41
2016-09-01 14:34:29,40
2016-09-01 14:52:07,40
2016-09-01 15:09:45,40
2016-09-01 15:27:23,40
2016-09-01 15:45:00,40
2016-09-01 16:02:38,40
2016-09-01 16:20:16,40
2016-09-01 16:37:53,40
2016-09-01 16:55:31,40
2016-09-01 17:13:08,40
2016-09-01 17:30:46,33
2016-09-01 17:48:24,22
2016-09-01 18:06:01,22
2016-09-01 18:23:39,22
2016-09-01 18:41:17,19
2016-09-01 18:58:54,18
2016-09-01 19:16:32,18
2016-09-01 19:34:09,18
2016-09-01 19:51:47,17
2016-09-01 20:09:25,17
2016-09-01 20:27:03,17
2016-09-01 20:44:40,17
2016-09-01 21:02:18,17
2016-09-01 21:19:55,17
2016-09-01 21:37:33,17
2016-09-01 21:55:11,17
2016-09-01 22:12:48,17
2016-09-01 22:30:26,17
2016-09-01 22:48:03,17
2016-09-01 23:05:41,17
2016-09-01 23:23:19,17
2016-09-01 23:40:56,17
2016-09-01 23:58:34,17
2016-09-02 00:16:12,17
2016-09-02 00:33:49,17
2016-09-02 00:51:27,17
2016-09-02 01:09:05,17
2016-09-02 01:26:42,17
2016-09-02 01:44:20,17
2016-09-02 02:01:58,17
2016-09-02 02:19:35,17
2016-09-02 02:37:13,17
2016-09-02 02:54:50,17
2016-09-02 03:12:28,17
2016-09-02 03:30:06,16
2016-09-02 03:47:43,17
2016-09-02 04:05:21,17
2016-09-02 04:22:59,17
2016-09-02 04:40:36,17
2016-09-02 04:58:14,17
2016-09-02 05:15:51,17
2016-09-02 05:33:29,17
2016-09-02 05:51:07,17
2016-09-02 06:08:44,17
2016-09-02 06:26:22,17
2016-09-02 06:44:00,17
2016-09-02 07:01:37,17
2016-09-02 07:19:15,17
2016-09-02 07:36:52,17
2016-09-02 07:54:30,17
2016-09-02 08:12:08,17
2016-09-02 08:29:45,17
2016-09-02 08:47:23,17
2016-09-02 09:05:00,18
2016-09-02 09:22:38,19
2016-09-02 09:40:16,26
2016-09-02 09:57:54,34
2016-09-02 10:15:31,37
2016-09-02 10:33:09,37
2016-09-02 10:50:47,37
2016-09-02 11:08:24,37
2016-09-02 11:26:02,37
2016-09-02 11:43:39,37
2016-09-02 12:01:17,37
2016-09-02 12:18:55,37
2016-09-02 12:36:32,37
2016-09-02 12:54:10,37
2016-09-02 13:11:48,37
2016-09-02 13:29:25,35
2016-09-02 13:47:03,35
2016-09-02 14:04:40,35
2016-09-02 14:22:18,35
2016-09-02 14:39:56,35
2016-09-02 14:57:33,35
2016-09-02 15:15:11,35
2016-09-02 15:32:48,36
2016-09-02 15:50:26,36
2016-09-02 16:08:04,36
2016-09-02 16:25:41,36
2016-09-02 16:43:19,36
2016-09-02 17:00:57,35
2016-09-02 17:18:34,35
2016-09-02 17:36:12,25
2016-09-02 17:53:49,20
2016-09-02 18:11:27,18
2016-09-02 18:29:05,18
